name,symbol
NUH ÇİMENTO SANAYİ A.Ş.,NUHCM
OBASE BİLGİSAYAR VE DANIŞMANLIK HİZMETLERİ TİCARET A.Ş.,OBASE
ODAŞ ELEKTRİK ÜRETİM SANAYİ TİCARET A.Ş.,ODAS
OFİS YEM GIDA SANAYİ TİCARET A.Ş.,OFSYM
ONCOSEM ONKOLOJİK SİSTEMLER SANAYİ VE TİCARET A.Ş.,ONCSM
ORÇAY ORTAKÖY ÇAY SANAYİ VE TİCARET A.Ş.,ORCAY
ORGE ENERJİ ELEKTRİK TAAHHÜT A.Ş.,ORGE
ORMA ORMAN MAHSULLERİ İNTEGRE SANAYİ VE TİCARET A.Ş.,ORMA
OSMANLI YATIRIM MENKUL DEĞERLER A.Ş.,OSMEN
OSTİM ENDÜSTRİYEL YATIRIMLAR VE İŞLETME A.Ş.,OSTIM
OTOKAR OTOMOTİV VE SAVUNMA SANAYİ A.Ş.,OTKAR
OTTO HOLDİNG A.Ş.,OTTO
OYAK ÇİMENTO FABRİKALARI A.Ş.,OYAKC
OYAK YATIRIM ORTAKLIĞI A.Ş.,OYAYO
OYLUM SINAİ YATIRIMLAR A.Ş.,OYLUM
OYAK YATIRIM MENKUL DEĞERLER A.Ş.,OYYAT
ÖZDERİCİ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,OZGYO
ÖZAK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,OZKGY
ÖZERDEN AMBALAJ SANAYİ A.Ş.,OZRDN
ÖZSU BALIK ÜRETİM A.Ş.,OZSUB
PANORA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PAGYO
PAMEL YENİLENEBİLİR ELEKTRİK ÜRETİM A.Ş.,PAMEL
PAPİLON SAVUNMA TEKNOLOJİ VE TİCARET A.Ş.,PAPIL
PARSAN MAKİNA PARÇALARI SANAYİİ A.Ş.,PARSN
PASİFİK EURASİA LOJİSTİK DIŞ TİCARET A.Ş.,PASEU
PC İLETİŞİM VE MEDYA HİZMETLERİ SANAYİ TİCARET A.Ş.,PCILT
PERA GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PEGYO
PEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PEKGY
PENGUEN GIDA SANAYİ A.Ş.,PENGD
PENTA TEKNOLOJİ ÜRÜNLERİ DAĞITIM TİCARET A.Ş.,PENTA
PETKİM PETROKİMYA HOLDİNG A.Ş.,PETKM
PINAR ENTEGRE ET VE UN SANAYİİ A.Ş.,PETUN
PEGASUS HAVA TAŞIMACILIĞI A.Ş.,PGSUS
PINAR SU VE İÇECEK SANAYİ VE TİCARET A.Ş.,PINSU
PLASTİKKART AKILLI KART İLETİŞİM SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,PKART
PETROKENT TURİZM A.Ş.,PKENT
PLATFORM TURİZM TAŞIMACILIK GIDA İNŞAAT TEMİZLİK HİZMETLERİ SANAYİ VE TİCARET A.Ş.,PLTUR
PANELSAN ÇATI CEPHE SİSTEMLERİ SANAYİ VE TİCARET A.Ş.,PNLSN
PINAR SÜT MAMULLERİ SANAYİİ A.Ş.,PNSUT
POLİSAN HOLDİNG A.Ş.,POLHO
POLİTEKNİK METAL SANAYİ VE TİCARET A.Ş.,POLTK
PARDUS GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,PRDGS
TÜRK PRYSMİAN KABLO VE SİSTEMLERİ A.Ş.,PRKAB
PARK ELEKTRİK ÜRETİM MADENCİLİK SANAYİ VE TİCARET A.Ş.,PRKME
PRİZMA PRES MATBAACILIK YAYINCILIK SANAYİ VE TİCARET A.Ş.,PRZMA
PERGAMON STATUS DIŞ TİCARET A.Ş.,PSDTC
PASİFİK GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,PSGYO
QNB FİNANSBANK A.Ş.,QNBFB
QNB FİNANS FİNANSAL KİRALAMA A.Ş.,QNBFL
QUA GRANITE HAYAL YAPI VE ÜRÜNLERİ SANAYİ TİCARET A.Ş.,QUAGR
RAL YATIRIM HOLDİNG A.Ş.,RALYH
RAY SİGORTA A.Ş.,RAYSG
REEDER TEKNOLOJİ SANAYİ VE TİCARET A.Ş.,REEDR
RAİNBOW POLİKARBONAT SANAYİ TİCARET A.Ş.,RNPOL
RODRİGO TEKSTİL SANAYİ VE TİCARET A.Ş.,RODRG
RTA LABORATUVARLARI BİYOLOJİK ÜRÜNLER İLAÇ VE MAKİNE SANAYİ TİCARET A.Ş.,RTALB
RUBENİS TEKSTİL SANAYİ TİCARET A.Ş.,RUBNS
REYSAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,RYGYO
REYSAŞ TAŞIMACILIK VE LOJİSTİK TİCARET A.Ş.,RYSAS
SAFKAR EGE SOĞUTMACILIK KLİMA SOĞUK HAVA TESİSLERİ İHRACAT İTHALAT SANAYİ VE TİCARET A.Ş.,SAFKR
HACI ÖMER SABANCI HOLDİNG A.Ş.,SAHOL
SARAY MATBAACILIK KAĞITÇILIK KIRTASİYECİLİK TİCARET VE SANAYİ A.Ş.,SAMAT
SAN-EL MÜHENDİSLİK ELEKTRİK TAAHHÜT SANAYİ VE TİCARET A.Ş.,SANEL
SANİFOAM ENDÜSTRİ VE TÜKETİM ÜRÜNLERİ SANAYİ TİCARET A.Ş.,SANFM
SANKO PAZARLAMA İTHALAT İHRACAT A.Ş.,SANKO
SARKUYSAN ELEKTROLİTİK BAKIR SANAYİ VE TİCARET A.Ş.,SARKY
SASA POLYESTER SANAYİ A.Ş.,SASA
SAY YENİLENEBİLİR ENERJİ EKİPMANLARI SANAYİ VE TİCARET A.Ş.,SAYAS
SDT UZAY VE SAVUNMA TEKNOLOJİLERİ A.Ş.,SDTTR
ŞEKER GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,SEGYO
ŞEKER FİNANSAL KİRALAMA A.Ş.,SEKFK
SEKURO PLASTİK AMBALAJ SANAYİ A.Ş.,SEKUR
SELÇUK ECZA DEPOSU TİCARET VE SANAYİ A.Ş.,SELEC
SELÇUK GIDA ENDÜSTRİ İHRACAT İTHALAT A.Ş.,SELGD
SELVA GIDA SANAYİ A.Ş.,SELVA
SEYİTLER KİMYA SANAYİ A.Ş.,SEYKM
SİLVERLİNE ENDÜSTRİ VE TİCARET A.Ş.,SILVR
TÜRKİYE ŞİŞE VE CAM FABRİKALARI A.Ş.,SISE
ŞEKERBANK T.A.Ş.,SKBNK
SÖKTAŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,SKTAS
SMARTİKS YAZILIM A.Ş.,SMART
SMART GÜNEŞ ENERJİSİ TEKNOLOJİLERİ ARAŞTIRMA GELİŞTİRME ÜRETİM SANAYİ VE TİCARET A.Ş.,SMRTG
SİNPAŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,SNGYO
SANİCA ISI SANAYİ A.Ş.,SNICA
SENKRON SİBER GÜVENLİK YAZILIM VE BİLİŞİM ÇÖZÜMLERİ A.Ş.,SNKRN
SÖNMEZ PAMUKLU SANAYİİ A.Ş.,SNPAM
SODAŞ SODYUM SANAYİİ A.Ş.,SODSN
SÖKE DEĞİRMENCİLİK SANAYİ VE TİCARET A.Ş.,SOKE
ŞOK MARKETLER TİCARET A.Ş.,SOKM
SÖNMEZ FİLAMENT SENTETİK İPLİK VE ELYAF SANAYİ A.Ş.,SONME
SERVET GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,SRVGY
SUMAŞ SUNİ TAHTA VE MOBİLYA SANAYİ A.Ş.,SUMAS
SUN TEKSTİL SANAYİ VE TİCARET A.Ş.,SUNTK
SUWEN TEKSTİL SANAYİ PAZARLAMA A.Ş.,SUWEN
TARKİM BİTKİ KORUMA SANAYİ VE TİCARET A.Ş.,TARKM
TATLIPINAR ENERJİ ÜRETİM A.Ş.,TATEN
TAT GIDA SANAYİ A.Ş.,TATGD
TAV HAVALİMANLARI HOLDİNG A.Ş.,TAVHL
TÜRK TUBORG BİRA VE MALT SANAYİİ A.Ş.,TBORG
TURKCELL İLETİŞİM HİZMETLERİ A.Ş.,TCELL
TREND GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TDGYO
TEK-ART İNŞAAT TİCARET TURİZM SANAYİ VE YATIRIMLAR A.Ş.,TEKTU
TERA YATIRIM MENKUL DEĞERLER A.Ş.,TERA
TETAMAT GIDA YATIRIMLARI A.Ş.,TETMT
EUROPAP TEZOL KAĞIT SANAYİ VE TİCARET A.Ş.,TEZOL
TGS DIŞ TİCARET A.Ş.,TGSAS
TÜRK HAVA YOLLARI A.O.,THYAO
TEKFEN HOLDİNG A.Ş.,TKFEN
TEKNOSA İÇ VE DIŞ TİCARET A.Ş.,TKNSA
TRABZON LİMAN İŞLETMECİLİĞİ A.Ş.,TLMAN
TEMAPOL POLİMER PLASTİK VE İNŞAAT SANAYİ TİCARET A.Ş.,TMPOL
TÜMOSAN MOTOR VE TRAKTÖR SANAYİ A.Ş.,TMSN
TAPDİ OKSİJEN ÖZEL SAĞLIK VE EĞİTİM HİZMETLERİ SANAYİ TİCARET A.Ş.,TNZTP
TOFAŞ TÜRK OTOMOBİL FABRİKASI A.Ş.,TOASO
TURCAS PETROL A.Ş.,TRCAS
TORUNLAR GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TRGYO
TURK İLAÇ VE SERUM SANAYİ A.Ş.,TRILC
TSKB GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,TSGYO
TÜRKİYE SINAİ KALKINMA BANKASI A.Ş.,TSKB
TÜRK TELEKOMÜNİKASYON A.Ş.,TTKOM
TÜRK TRAKTÖR VE ZİRAAT MAKİNELERİ A.Ş.,TTRAK
TUĞÇELİK ALÜMİNYUM VE METAL MAMÜLLERİ SANAYİ VE TİCARET A.Ş.,TUCLK
TUKAŞ GIDA SANAYİ VE TİCARET A.Ş.,TUKAS
TÜPRAŞ-TÜRKİYE PETROL RAFİNERİLERİ A.Ş.,TUPRS
TUREKS TURİZM TAŞIMACILIK A.Ş.,TUREX
TÜRKER PROJE GAYRİMENKUL VE YATIRIM GELİŞTİRME A.Ş.,TURGG
TÜRKİYE SİGORTA A.Ş.,TURSG
UFUK YATIRIM YÖNETİM VE GAYRİMENKUL A.Ş.,UFUK
ULAŞLAR TURİZM ENERJİ TARIM GIDA VE İNŞAAT YATIRIMLARI A.Ş.,ULAS
ÜLKER BİSKÜVİ SANAYİ A.Ş.,ULKER
ULUSAL FAKTORİNG A.Ş.,ULUFA
ULUSOY ELEKTRİK İMALAT TAAHHÜT VE TİCARET A.Ş.,ULUSE
ULUSOY UN SANAYİ VE TİCARET A.Ş.,ULUUN
UMPAŞ HOLDİNG A.Ş.,UMPAS
ÜNLÜ YATIRIM HOLDİNG A.Ş.,UNLU
UŞAK SERAMİK SANAYİ A.Ş.,USAK
UZERTAŞ BOYA SANAYİ TİCARET VE YATIRIM A.Ş.,UZERB
TÜRKİYE VAKIFLAR BANKASI T.A.O.,VAKBN
VAKIF FİNANSAL KİRALAMA A.Ş.,VAKFN
VAKKO TEKSTİL VE HAZIR GİYİM SANAYİ İŞLETMELERİ A.Ş.,VAKKO
VANET GIDA SANAYİ İÇ VE DIŞ TİCARET A.Ş.,VANGD
VBT YAZILIM A.Ş.,VBTYZ
VERUSATURK GİRİŞİM SERMAYESİ YATIRIM ORTAKLIĞI A.Ş.,VERTU
VERUSA HOLDİNG A.Ş.,VERUS
VESTEL BEYAZ EŞYA SANAYİ VE TİCARET A.Ş.,VESBE
VESTEL ELEKTRONİK SANAYİ VE TİCARET A.Ş.,VESTL
VAKIF MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,VKFYO
VAKIF GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,VKGYO
VİKİNG KAĞIT VE SELÜLOZ A.Ş.,VKING
YAPRAK SÜT VE BESİ ÇİFTLİKLERİ SANAYİ VE TİCARET A.Ş.,YAPRK
YATAŞ YATAK VE YORGAN SANAYİ TİCARET A.Ş.,YATAS
YAYLA ENERJİ ÜRETİM TURİZM VE İNŞAAT TİCARET A.Ş.,YAYLA
YİBİTAŞ YOZGAT İŞÇİ BİRLİĞİ İNŞAAT MALZEMELERİ TİCARET VE SANAYİ A.Ş.,YBTAS
YEO TEKNOLOJİ ENERJİ VE ENDÜSTRİ A.Ş.,YEOTK
YEŞİL YATIRIM HOLDİNG A.Ş.,YESIL
YENİ GİMAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,YGGYO
YEŞİL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,YGYO
YAPI VE KREDİ BANKASI A.Ş.,YKBNK
YÜKSELEN ÇELİK A.Ş.,YKSLN
YONGA MOBİLYA SANAYİ VE TİCARET A.Ş.,YONGA
YÜNSA YÜNLÜ SANAYİ VE TİCARET A.Ş.,YUNSA
YEŞİL YAPI ENDÜSTRİSİ A.Ş.,YYAPI
YAYLA AGRO GIDA SANAYİ VE TİCARET A.Ş.,YYLGD
ZEDUR ENERJİ ELEKTRİK ÜRETİM A.Ş.,ZEDUR
ZORLU ENERJİ ELEKTRİK ÜRETİM A.Ş.,ZOREN
ZİRAAT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,ZRGYO
APX30,Ak Portföy Bıst 30 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
APBDL,Ak Portföy Bıst Banka Dışı Likit 10 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
APLIB,Ak Portföy Bıst Likit Banka Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
OPX30,Osmanlı Portföy Bıst 30 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
GLDTR,QNB Finans Portföy Altın Katılım Borsa Yatırım Fonu
USDTR,QNB Finans Portföy Amerikan Doları Yabancı Borsa Yatırım Fonu
DJIST,QNB Finans Portföy Dow Jones İstanbul 20 Hisse Senedi Yoğun Borsa Yatırım Fonu
GMSTR,QNB Finans Portföy Gümüş Katılım Borsa Yatırım Fonu
ZGOLD,Ziraat Portföy Altın Katılım Borsa Yatırım Fonu
ZPX30,Ziraat Portföy Bıst 30 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
Z30EA,Ziraat Portföy Bıst 30 Eşit Ağırlıklı Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZELOT,Ziraat Portföy Bıst 50-30 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZPBDL,Ziraat Portföy Bıst Banka Dışı Likit 10 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZPLIB,Ziraat Portföy Bıst Likit Banka Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZSR25,Ziraat Portföy Bıst Sürdürülebilirlik 25 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
Z30KP,Ziraat Portföy Katılım 30 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
Z30KE,Ziraat Portföy Katılım 30 Eşit Ağırlıklı Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZRE20,Ziraat Portföy Risk Eşit Banka Dışı 20 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZTM15,Ziraat Portföy Yıldız Pazar Likit Temettü Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
ZPT10,Ziraat Portföy Yıldız Pazar Teknoloji Ve İletişim 10 Endeksi Hisse Senedi Yoğun Borsa Yatırım Fonu
