name,symbol
BANTAŞ BANDIRMA AMBALAJ SANAYİ TİCARET A.Ş.,BNTAS
BOĞAZİÇİ BETON SANAYİ VE TİCARET A.Ş.,BOBET
BOSSA TİCARET VE SANAYİ İŞLETMELERİ T.A.Ş.,BOSSA
BRİSA BRIDGESTONE SABANCI LASTİK SANAYİ VE TİCARET A.Ş.,BRISA
BİRKO BİRLEŞİK KOYUNLULULAR MENSUCAT TİCARET VE SANAYİ A.Ş.,BRKO
BERKOSAN YALITIM VE TECRİT MADDELERİ ÜRETİM VE TİCARET A.Ş.,BRKSN
BİRİKİM VARLIK YÖNETİM A.Ş.,BRKVY
BİRLEŞİM MÜHENDİSLİK ISITMA SOĞUTMA HAVALANDIRMA SANAYİ VE TİCARET A.Ş.,BRLSM
BİRLİK MENSUCAT TİCARET VE SANAYİ İŞLETMESİ A.Ş.,BRMEN
BORUSAN MANNESMANN BORU SANAYİ VE TİCARET A.Ş.,BRSAN
BORUSAN YATIRIM VE PAZARLAMA A.Ş.,BRYAT
BATISÖKE SÖKE ÇİMENTO SANAYİİ T.A.Ş.,BSOKE
BATIÇİM BATI ANADOLU ÇİMENTO SANAYİİ A.Ş.,BTCIM
BURSA ÇİMENTO FABRİKASI A.Ş.,BUCIM
BURÇELİK BURSA ÇELİK DÖKÜM SANAYİİ A.Ş.,BURCE
BURÇELİK VANA SANAYİ VE TİCARET A.Ş.,BURVA
BÜLBÜLOĞLU VİNÇ SANAYİ VE TİCARET A.Ş.,BVSAN
BAYDÖNER RESTORANLARI A.Ş.,BYDNR
ÇAN2 TERMİK A.Ş.,CANTE
CASA EMTİA PETROL KİMYEVİ VE TÜREVLERİ SANAYİ TİCARET A.Ş.,CASA
COCA-COLA İÇECEK A.Ş.,CCOLA
ÇELİK HALAT VE TEL SANAYİİ A.Ş.,CELHA
ÇEMAŞ DÖKÜM SANAYİ A.Ş.,CEMAS
ÇEMTAŞ ÇELİK MAKİNA SANAYİ VE TİCARET A.Ş.,CEMTS
CEO EVENT MEDYA A.Ş.,CEOEM
ÇİMSA ÇİMENTO SANAYİ VE TİCARET A.Ş.,CIMSA
ÇELEBİ HAVA SERVİSİ A.Ş.,CLEBI
ÇİMBETON HAZIRBETON VE PREFABRİK YAPI ELEMANLARI SANAYİ VE TİCARET A.Ş.,CMBTN
ÇİMENTAŞ İZMİR ÇİMENTO FABRİKASI T.A.Ş.,CMENT
CONSUS ENERJİ İŞLETMECİLİĞİ VE HİZMETLERİ A.Ş.,CONSE
COSMOS YATIRIM HOLDİNG A.Ş.,COSMO
CREDITWEST FAKTORİNG A.Ş.,CRDFA
CARREFOURSA CARREFOUR SABANCI TİCARET MERKEZİ A.Ş.,CRFSA
ÇUHADAROĞLU METAL SANAYİ VE PAZARLAMA A.Ş.,CUSAN
CVK MADEN İŞLETMELERİ SANAYİ VE TİCARET A.Ş.,CVKMD
CW ENERJİ MÜHENDİSLİK TİCARET VE SANAYİ A.Ş.,CWENE
DAGİ YATIRIM HOLDİNG A.Ş.,DAGHL
DAGİ GİYİM SANAYİ VE TİCARET A.Ş.,DAGI
DAP GAYRİMENKUL GELİŞTİRME A.Ş.,DAPGM
DARDANEL ÖNENTAŞ GIDA SANAYİ A.Ş.,DARDL
DENGE YATIRIM HOLDİNG A.Ş.,DENGE
DERLÜKS YATIRIM HOLDİNG A.Ş.,DERHL
DERİMOD KONFEKSİYON AYAKKABI DERİ SANAYİ VE TİCARET A.Ş.,DERIM
DESA DERİ SANAYİ VE TİCARET A.Ş.,DESA
DESPEC BİLGİSAYAR PAZARLAMA VE TİCARET A.Ş.,DESPC
DEVA HOLDİNG A.Ş.,DEVA
DATAGATE BİLGİSAYAR MALZEMELERİ TİCARET A.Ş.,DGATE
DOĞUŞ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DGGYO
DOĞANLAR MOBİLYA GRUBU İMALAT SANAYİ VE TİCARET A.Ş.,DGNMO
DİRİTEKS DİRİLİŞ TEKSTİL SANAYİ VE TİCARET A.Ş.,DIRIT
DİTAŞ DOĞAN YEDEK PARÇA İMALAT VE TEKNİK A.Ş.,DITAS
DMR UNLU MAMULLER ÜRETİM GIDA TOPTAN PERAKENDE İHRACAT A.Ş.,DMRGD
DEMİSAŞ DÖKÜM EMAYE MAMÜLLERİ SANAYİ A.Ş.,DMSAS
DİNAMİK ISI MAKİNA YALITIM MALZEMELERİ SANAYİ VE TİCARET A.Ş.,DNISI
DOĞUŞ OTOMOTİV SERVİS VE TİCARET A.Ş.,DOAS
DOĞAN BURDA DERGİ YAYINCILIK VE PAZARLAMA A.Ş.,DOBUR
DOĞUSAN BORU SANAYİİ VE TİCARET A.Ş.,DOGUB
DOĞAN ŞİRKETLER GRUBU HOLDİNG A.Ş.,DOHOL
DÖKTAŞ DÖKÜMCÜLÜK TİCARET VE SANAYİ A.Ş.,DOKTA
DURAN DOĞAN BASIM VE AMBALAJ SANAYİ A.Ş.,DURDO
DYO BOYA FABRİKALARI SANAYİ VE TİCARET A.Ş.,DYOBY
DENİZ GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,DZGYO
EBEBEK MAĞAZACILIK A.Ş.,EBEBK
EİS ECZACIBAŞI İLAÇ SINAİ VE FİNANSAL YATIRIMLAR SANAYİ VE TİCARET A.Ş.,ECILC
ECZACIBAŞI YATIRIM HOLDİNG ORTAKLIĞI A.Ş.,ECZYT
E-DATA TEKNOLOJİ PAZARLAMA A.Ş.,EDATA
EDİP GAYRİMENKUL YATIRIM SANAYİ VE TİCARET A.Ş.,EDIP
EGE ENDÜSTRİ VE TİCARET A.Ş.,EGEEN
NASMED ÖZEL SAĞLIK HİZMETLERİ TİCARET A.Ş.,EGEPO
EGE GÜBRE SANAYİİ A.Ş.,EGGUB
EGE PROFİL TİCARET VE SANAYİ A.Ş.,EGPRO
EGE SERAMİK SANAYİ VE TİCARET A.Ş.,EGSER
EMLAK KONUT GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EKGYO
EKİZ KİMYA SANAYİ VE TİCARET A.Ş.,EKIZ
EKSUN GIDA TARIM SANAYİ VE TİCARET A.Ş.,EKSUN
ELİTE NATUREL ORGANİK GIDA SANAYİ VE TİCARET A.Ş.,ELITE
EMEK ELEKTRİK ENDÜSTRİSİ A.Ş.,EMKEL
EMİNİŞ AMBALAJ SANAYİ VE TİCARET A.Ş.,EMNIS
ENERYA ENERJİ A.Ş.,ENERY
ENERJİSA ENERJİ A.Ş.,ENJSA
ENKA İNŞAAT VE SANAYİ A.Ş.,ENKAI
ENSARİ DERİ GIDA SANAYİ VE TİCARET A.Ş.,ENSRI
EGEPLAST EGE PLASTİK TİCARET VE SANAYİ A.Ş.,EPLAS
ERBOSAN ERCİYAS BORU SANAYİİ VE TİCARET A.Ş.,ERBOS
ERCİYAS ÇELİK BORU SANAYİ A.Ş.,ERCB
EREĞLİ DEMİR VE ÇELİK FABRİKALARI T.A.Ş.,EREGL
ERSU MEYVE VE GIDA SANAYİ A.Ş.,ERSU
ESCAR FİLO KİRALAMA HİZMETLERİ A.Ş.,ESCAR
ESCORT TEKNOLOJİ YATIRIM A.Ş.,ESCOM
ESENBOĞA ELEKTRİK ÜRETİM A.Ş.,ESEN
ETİLER GIDA VE TİCARİ YATIRIMLAR SANAYİ VE TİCARET A.Ş.,ETILR
EURO TREND YATIRIM ORTAKLIĞI A.Ş.,ETYAT
EURO YATIRIM HOLDİNG A.Ş.,EUHOL
EURO KAPİTAL YATIRIM ORTAKLIĞI A.Ş.,EUKYO
EUROPOWER ENERJİ VE OTOMASYON TEKNOLOJİLERİ SANAYİ TİCARET A.Ş.,EUPWR
EUROPEN ENDÜSTRİ İNŞAAT SANAYİ VE TİCARET A.Ş.,EUREN
EURO MENKUL KIYMET YATIRIM ORTAKLIĞI A.Ş.,EUYO
EYG GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,EYGYO
FADE GIDA YATIRIM SANAYİ TİCARET A.Ş.,FADE
FLAP KONGRE TOPLANTI HİZMETLERİ OTOMOTİV VE TURİZM A.Ş.,FLAP
FEDERAL-MOGUL İZMİT PİSTON VE PİM ÜRETİM TESİSLERİ A.Ş.,FMIZP
FONET BİLGİ TEKNOLOJİLERİ A.Ş.,FONET
FORMET METAL VE CAM SANAYİ A.Ş.,FORMT
FORTE BİLGİ İLETİŞİM TEKNOLOJİLERİ VE SAVUNMA SANAYİ A.Ş.,FORTE
FRİGO-PAK GIDA MADDELERİ SANAYİ VE TİCARET A.Ş.,FRIGO
FORD OTOMOTİV SANAYİ A.Ş.,FROTO
FUZUL GAYRİMENKUL YATIRIM ORTAKLIĞI A.Ş.,FZLGY
TÜRKİYE GARANTİ BANKASI A.Ş.,GARAN
GARANTİ FAKTORİNG A.Ş.,GARFA
GEDİK YATIRIM MENKUL DEĞERLER A.Ş.,GEDIK
GEDİZ AMBALAJ SANAYİ VE TİCARET A.Ş.,GEDZA
GEN İLAÇ VE SAĞLIK ÜRÜNLERİ SANAYİ VE TİCARET A.Ş.,GENIL
GENTAŞ DEKORATİF YÜZEYLER SANAYİ VE TİCARET A.Ş.,GENTS
GERSAN ELEKTRİK TİCARET VE SANAYİ A.Ş.,GEREL
